               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.033313,            0.015778,            0.024462,             0.65813,             0.58051,             0.64727,             0.32891,            0.027575,           0.0078359,            0.014554,            0.005446,            0.005446,            0.005446
                 117,            0.033808,            0.016347,            0.024089,             0.57439,             0.61268,             0.64944,             0.33687,            0.027805,            0.007704,            0.015628,           0.0054064,           0.0054064,           0.0054064
                 118,            0.033191,            0.016695,            0.022482,             0.58704,             0.40943,             0.47427,             0.24294,            0.029735,           0.0092381,            0.021011,           0.0053668,           0.0053668,           0.0053668
                 119,            0.031895,            0.015789,            0.022528,             0.86068,             0.52515,             0.68522,             0.41172,            0.024141,           0.0076978,            0.014871,           0.0053272,           0.0053272,           0.0053272
                 120,            0.032496,            0.016475,            0.022578,             0.47883,             0.52705,             0.52733,             0.28126,            0.027991,           0.0085689,            0.020203,           0.0052876,           0.0052876,           0.0052876
                 121,            0.033053,            0.016031,            0.022847,             0.67289,              0.5711,             0.65901,             0.40172,            0.025532,           0.0078068,             0.01647,            0.005248,            0.005248,            0.005248
                 122,            0.032102,            0.016155,            0.021694,             0.62622,             0.63767,             0.65381,             0.34394,            0.027256,           0.0077216,            0.018605,           0.0052084,           0.0052084,           0.0052084
                 123,            0.031764,            0.016007,             0.02185,             0.61132,             0.50284,             0.59277,             0.33588,            0.025673,            0.007385,              0.0222,           0.0051688,           0.0051688,           0.0051688
                 124,            0.033483,            0.016596,            0.021169,             0.78786,             0.64376,             0.72445,             0.43935,              0.0256,           0.0070719,            0.014996,           0.0051292,           0.0051292,           0.0051292
                 125,            0.031065,            0.014999,            0.021891,             0.82212,             0.61913,             0.73076,             0.45259,            0.023381,           0.0076531,            0.011281,           0.0050896,           0.0050896,           0.0050896
                 126,            0.032823,            0.016182,             0.02213,             0.85686,             0.63091,             0.75313,             0.45321,            0.024909,           0.0069515,            0.014684,             0.00505,             0.00505,             0.00505
