                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.12007,                0.32835,                0.89021,                0.81139,                0.84958,                0.89061,                 0.8769,                0.17771,                0.64671,                0.53656,                0.00208,                0.00208,                0.00208
                     82,                0.12119,                0.34173,                 0.8864,                0.77522,                0.88013,                 0.8778,                0.86725,                0.16135,                0.58974,                0.53307,               0.001981,               0.001981,               0.001981
                     83,                0.12284,                0.31919,                0.90008,                0.88043,                0.88493,                 0.9036,                0.89751,                0.16571,                0.53307,                0.53999,               0.001882,               0.001882,               0.001882
                     84,                0.11161,                0.32821,                0.89879,                0.88167,                0.88238,                0.91907,                0.91601,                0.16614,                 0.4871,                0.55437,               0.001783,               0.001783,               0.001783
                     85,                0.12938,                0.35598,                0.91222,                0.86124,                0.87807,                0.90373,                 0.9013,                0.15802,                0.47805,                0.55538,               0.001684,               0.001684,               0.001684
                     86,                0.11416,                0.33381,                 0.8989,                0.75624,                0.82564,                0.87059,                0.86755,                0.14673,                 0.6885,                0.54269,               0.001585,               0.001585,               0.001585
                     87,                0.11239,                 0.3124,                0.89415,                0.87813,                0.83011,                0.89745,                0.89526,                0.14748,                0.54098,                0.53524,               0.001486,               0.001486,               0.001486
                     88,                0.10453,                0.31299,                 0.8837,                0.87428,                0.87205,                0.91053,                0.90712,                0.13709,                0.48639,                0.50538,               0.001387,               0.001387,               0.001387
                     89,                0.11047,                  0.357,                0.89308,                 0.8787,                0.84778,                0.90747,                0.90568,                0.15083,                 0.5174,                0.51833,               0.001288,               0.001288,               0.001288
                     90,                0.14066,                0.36557,                0.93614,                0.81387,                0.83629,                0.88204,                0.87466,                0.14626,                0.62615,                0.52784,               0.001189,               0.001189,               0.001189
                     91,                0.08584,                0.21786,                0.87672,                0.76369,                0.87902,                0.87245,                0.87245,                0.13975,                0.62779,                0.52749,                0.00109,                0.00109,                0.00109
                     92,                0.08245,                0.20021,                0.87617,                0.85079,                0.87209,                0.88936,                0.88936,                0.14148,                0.49935,                 0.5209,               0.000991,               0.000991,               0.000991
                     93,                0.09947,                0.24667,                0.87808,                0.85923,                0.87484,                0.89411,                0.89159,                0.14314,                 0.5009,                0.52453,               0.000892,               0.000892,               0.000892
                     94,                0.07473,                0.17253,                0.86491,                0.82507,                0.87756,                0.88812,                0.88663,                0.14518,                0.54852,                0.52492,               0.000793,               0.000793,               0.000793
                     95,                0.07378,                0.17439,                0.86442,                0.81411,                0.88115,                0.89473,                0.89437,                0.13175,                0.53496,                0.51621,               0.000694,               0.000694,               0.000694
                     96,                0.12377,                0.21251,                0.91549,                0.82616,                0.85602,                0.89357,                0.89357,                0.13069,                0.57574,                0.51381,               0.000595,               0.000595,               0.000595
                     97,                0.07372,                0.16572,                0.86382,                0.87592,                 0.8151,                0.88878,                0.88878,                0.12704,                0.54175,                0.50677,               0.000496,               0.000496,               0.000496
                     98,                0.06747,                0.17008,                0.85937,                0.85044,                0.83433,                0.89426,                0.89426,                0.12549,                0.51525,                0.50232,               0.000397,               0.000397,               0.000397
                     99,                0.06864,                0.18514,                0.85262,                0.84727,                0.86899,                0.89195,                0.89195,                0.12325,                0.52538,                 0.5017,               0.000298,               0.000298,               0.000298
