                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.46431,                0.34354,                 1.1358,                0.96501,                0.94518,                0.98829,                0.82455,                0.73398,                0.42056,                 1.4813,              0.0028123,              0.0028123,              0.0028123
                    108,                0.45538,                0.36765,                 1.1491,                0.94919,                0.99666,                0.99276,                0.83428,                0.73017,                0.39901,                 1.4622,              0.0027445,              0.0027445,              0.0027445
                    109,                0.46806,                0.36877,                 1.1397,                0.97284,                0.99493,                0.99412,                0.82992,                0.71104,                0.40319,                 1.4427,              0.0026767,              0.0026767,              0.0026767
                    110,                0.47329,                0.35403,                 1.1343,                0.97016,                      1,                0.99307,                0.82926,                0.70625,                0.40972,                 1.4402,              0.0026089,              0.0026089,              0.0026089
                    111,                0.44103,                0.37187,                  1.127,                0.96562,                      1,                0.99307,                0.82574,                0.68851,                0.41818,                 1.4068,              0.0025411,              0.0025411,              0.0025411
                    112,                0.45634,                0.35648,                  1.113,                0.95912,                      1,                0.99412,                0.82128,                0.68392,                0.42781,                 1.3914,              0.0024733,              0.0024733,              0.0024733
                    113,                0.44814,                0.35269,                 1.1379,                0.97174,                0.94086,                0.99197,                0.82598,                0.67076,                0.46074,                  1.354,              0.0024055,              0.0024055,              0.0024055
                    114,                0.44453,                 0.3463,                 1.1123,                0.93506,                0.96348,                0.98954,                0.83325,                  0.702,                0.42398,                 1.3837,              0.0023377,              0.0023377,              0.0023377
                    115,                0.44088,                0.32674,                 1.0954,                0.96567,                0.93136,                0.98695,                0.82377,                  0.709,                0.43079,                 1.4023,              0.0022699,              0.0022699,              0.0022699
                    116,                0.46481,                0.34842,                 1.1284,                0.97416,                0.93386,                0.98685,                0.82813,                0.69866,                0.44209,                 1.4224,              0.0022021,              0.0022021,              0.0022021
                    117,                0.43236,                0.36194,                 1.1288,                0.97581,                0.93787,                0.99138,                0.82672,                0.69109,                0.40887,                 1.4098,              0.0021342,              0.0021342,              0.0021342
                    118,                0.41967,                0.32512,                 1.0933,                0.94767,                0.98148,                0.99333,                0.82385,                0.67793,                0.41931,                 1.4088,              0.0020664,              0.0020664,              0.0020664
                    119,                0.43397,                0.31799,                   1.08,                0.93235,                0.96296,                0.97623,                0.81781,                0.68965,                0.42341,                 1.4095,              0.0019986,              0.0019986,              0.0019986
                    120,                0.43283,                0.37567,                 1.1239,                0.95218,                0.98148,                0.98105,                0.82529,                0.67338,                0.41756,                 1.3908,              0.0019308,              0.0019308,              0.0019308
                    121,                 0.4397,                0.32306,                  1.099,                0.95398,                0.98148,                0.98087,                0.83437,                0.66156,                0.41486,                 1.3786,               0.001863,               0.001863,               0.001863
                    122,                0.43791,                0.32156,                 1.1202,                0.95033,                0.98148,                0.98078,                0.83034,                0.66036,                0.43112,                 1.3738,              0.0017952,              0.0017952,              0.0017952
                    123,                0.38256,                 0.3173,                 1.0789,                0.92749,                0.96296,                0.97565,                0.82731,                0.67723,                0.39632,                 1.4066,              0.0017274,              0.0017274,              0.0017274
                    124,                0.41219,                0.32012,                  1.085,                  0.951,                0.97856,                0.98247,                0.81823,                0.69169,                0.38114,                 1.4247,              0.0016596,              0.0016596,              0.0016596
                    125,                0.41499,                0.33912,                  1.099,                 0.9624,                0.97027,                0.98236,                0.81919,                0.69192,                0.38064,                  1.435,              0.0015918,              0.0015918,              0.0015918
                    126,                0.39961,                0.30994,                 1.1014,                0.97114,                0.96344,                0.98258,                0.81689,                0.70106,                0.38567,                 1.4547,               0.001524,               0.001524,               0.001524
                    127,                0.40826,                0.32647,                  1.092,                0.97269,                0.95938,                0.98181,                0.81147,                0.70877,                0.39431,                 1.4768,              0.0014562,              0.0014562,              0.0014562
                    128,                0.39766,                0.31255,                 1.0866,                0.95866,                0.96491,                0.98139,                0.81892,                 0.7093,                0.38411,                 1.4594,              0.0013884,              0.0013884,              0.0013884
                    129,                0.40019,                0.29015,                 1.0751,                0.96882,                0.96471,                0.98146,                0.81547,                0.71608,                0.38112,                 1.4559,              0.0013205,              0.0013205,              0.0013205
                    130,                   0.37,                0.30752,                 1.0817,                0.96752,                0.97557,                0.98198,                0.82623,                0.70189,                0.37345,                 1.4263,              0.0012527,              0.0012527,              0.0012527
                    131,                0.37559,                0.29377,                  1.084,                0.96674,                0.98148,                 0.9807,                0.82848,                 0.6791,                0.36254,                 1.3816,              0.0011849,              0.0011849,              0.0011849
                    132,                0.37969,                0.29967,                 1.0787,                 0.9693,                0.98148,                0.98055,                0.82301,                0.67203,                0.38037,                 1.3665,              0.0011171,              0.0011171,              0.0011171
                    133,                0.42751,                0.32621,                 1.1103,                0.96425,                0.98148,                0.98087,                0.83272,                0.65994,                0.40265,                 1.3484,              0.0010493,              0.0010493,              0.0010493
                    134,                0.37153,                0.29845,                 1.0473,                0.96398,                0.98148,                0.98105,                0.83373,                0.64871,                 0.4097,                 1.3361,             0.00098151,             0.00098151,             0.00098151
                    135,                0.37335,                0.31117,                  1.049,                0.96373,                0.98148,                0.98095,                0.83315,                0.64642,                0.40323,                  1.347,              0.0009137,              0.0009137,              0.0009137
                    136,                0.34801,                0.32927,                 1.1286,                0.97151,                0.98148,                0.98105,                0.84121,                0.65719,                 0.3992,                 1.3717,             0.00084589,             0.00084589,             0.00084589
                    137,                0.36019,                0.29209,                 1.1574,                0.97111,                0.98148,                0.98105,                0.82853,                0.66609,                0.39891,                 1.3922,             0.00077808,             0.00077808,             0.00077808
                    138,                0.32983,                0.27458,                 1.1072,                0.96818,                0.98148,                0.98095,                0.82777,                0.66486,                0.38789,                 1.3864,             0.00071027,             0.00071027,             0.00071027
                    139,                0.33605,                0.27027,                 1.1077,                0.96628,                0.98148,                0.98078,                0.82778,                0.68004,                0.38333,                 1.4114,             0.00064247,             0.00064247,             0.00064247
                    140,                0.31739,                0.28397,                 1.1027,                0.96708,                0.98148,                 0.9807,                0.82845,                0.68636,                0.37682,                 1.4259,             0.00057466,             0.00057466,             0.00057466
                    141,                 0.3095,                0.28659,                 1.1003,                  0.967,                0.98148,                0.98833,                0.83108,                0.68587,                0.36624,                 1.4364,             0.00050685,             0.00050685,             0.00050685
                    142,                0.30188,                0.23961,                 1.0473,                0.96505,                0.98148,                0.98605,                0.82399,                0.69126,                0.37505,                 1.4331,             0.00043904,             0.00043904,             0.00043904
                    143,                0.29971,                0.23956,                 1.0752,                0.96515,                0.98148,                0.98579,                0.82309,                0.67907,                0.38429,                 1.4259,             0.00037123,             0.00037123,             0.00037123
                    144,                0.31048,                0.25315,                 1.0898,                0.96512,                0.98148,                0.98631,                0.82683,                0.67486,                0.38797,                 1.4195,             0.00030342,             0.00030342,             0.00030342
                    145,                0.29245,                 0.2501,                 1.0816,                0.96509,                0.98148,                0.98631,                0.82615,                0.67592,                0.38364,                 1.4221,             0.00023562,             0.00023562,             0.00023562
